article_anchor	finding_ids	evidence_paths	confidence	screenshot_ids	next_step_ids	limitations
02-F002	02-F002	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V08-settings-contract.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/static-evidence-excerpts.txt	C2	S02-03	N14	Runtime UI, getElements, AX, and Enter parity were requested but not executed; observed is NOT_REPRODUCED.
02-F003	02-F003	.artifacts/branch-trust-audit/02-core-surfaces/receipts/static-evidence-excerpts.txt;.artifacts/branch-trust-audit/02-core-surfaces/agent-chat-entry-matrix.tsv	C2	S02-06	N05	No false outcome was reproduced in the live app; confidence is structural C2.
02-F004	02-F004	.artifacts/branch-trust-audit/02-core-surfaces/receipts/static-evidence-excerpts.txt;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V03-actions-window.stdout.log	C1	S02-01;S02-02	N08	This is an unreproduced mechanism, not an observed product failure.
02-F005	02-F005	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V05b-quick-question-bin.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V05b-quick-question-bin.stdout.log	C3	S02-06	N05	C3 does not establish live absence of transient chips or auto-submit.
02-F006	02-F006	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V06-conversation-turn-key.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V07-chat-prompt.json	C3	S02-07	N09	Behavior tests prove key construction, not pixel continuity, text-selection survival, or scroll behavior.
02-F007	02-F007	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V03-actions-window.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V03-actions-window.stdout.log;.artifacts/branch-trust-audit/02-core-surfaces/receipts/00-source-audit-delta.tsv	C1		N16	The runtime registration boundary was not crossed; do not treat the production call trace as live proof.
02-F008	02-F008	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V11e-main-window-footer-bin-corrected.json;.artifacts/branch-trust-audit/02-core-surfaces/footer-keyboard-parity.tsv	C2		N06	C2 and C3 evidence cannot establish AppKit first mouse, listener cardinality, or focus.
02-F009	02-F009	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V09b-flow-discoverability-bin.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V04-notes-action-builders.json;.artifacts/branch-trust-audit/02-core-surfaces/actions-matrix.tsv	C3	S02-04;S02-05	N14	C3 covers builders and resolvers, not runtime cancellation, persistence, or focus.
02-F010	02-F010	.artifacts/branch-trust-audit/02-core-surfaces/diffs/00-owned.patch;.artifacts/branch-trust-audit/02-core-surfaces/runtime-requests.jsonl	C2		N15	No stale mutation was reproduced.
03-F001	03-F001	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V01-domain-reliability.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V07-agent-thread.json	C3	S02	N09	No real runtime stream, window, or protocol boundary was crossed.
03-F002	03-F002	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V04-message-parts.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V06-preflight-audit.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V10-get-elements.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V12-wait-for.json	C3	S01	N04	Tests do not prove every live collector chooses the redacted constructor or that a live getElements response is private.; getAgentChatState still has a pre-existing raw input_text field outside this branch delta.
03-F003	03-F003	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V05-staged-context.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V07-agent-thread.json	C3	S03	N10	The live provider acceptance boundary, filesystem history, and Quick AI storage/export were not exercised.
03-F004	03-F004	.artifacts/branch-trust-audit/03-ai-protocol/receipts/SNC-H03.json;.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C2	S04	N05	A real GPUI window has not confirmed the visible symptom.
03-F005	03-F005	.artifacts/branch-trust-audit/03-ai-protocol/receipts/SNC-H05.json;.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C1	S03	N10	NOT_REPRODUCED in a live caller; source uniqueness may be guaranteed by some producers but is not documented or enforced.
03-F006	03-F006	.artifacts/branch-trust-audit/03-ai-protocol/receipts/SNC-H01.json;.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C2		N10	No current send decision was found to branch on this field.
03-F007	03-F007	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V09-context-contract.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V09-context-contract.stdout.log;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V09-context-contract.stderr.log	C3		N16	The full suite was not run; no production edit was authorized.
03-F008	03-F008	.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C1		N16	This does not establish that production deletion is currently broken.
03-F009	03-F009	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V08-history-popup.json;.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C2	S04	N05	No AppKit window, focus, or rapid-reopen transaction was exercised.
03-F010	03-F010	.artifacts/branch-trust-audit/03-ai-protocol/receipts/V10-get-elements.json;.artifacts/branch-trust-audit/03-ai-protocol/receipts/V12-wait-for.json;.artifacts/branch-trust-audit/03-ai-protocol/diffs/00-owned.patch	C2	S01	N04	No real protocol connection or rendered surface was inspected.
04-F001	04-F001	.artifacts/branch-trust-audit/04-window-flows/receipts/V02-flow-tests.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V02-flow-tests.stdout.log	C3	S04-01	N11	No real restart/UI/filesystem collision harness ran; filename collision classes remain separate proof gap.
04-F002	04-F002	.artifacts/branch-trust-audit/04-window-flows/diffs/10-flows.patch;.artifacts/branch-trust-audit/04-window-flows/receipts/00-main-head-anchor-counts.tsv	C2	S04-01	N11	The mechanism predates the branch and was not reproduced at a filesystem boundary.
04-F003	04-F003	.artifacts/branch-trust-audit/04-window-flows/receipts/V03-dictation-tests.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V03-dictation-tests.stdout.log	C3	S04-04;S04-06	N13	No external-app, real popup keyboard, native resize, or rapid-toggle AppKit boundary ran.
04-F004	04-F004	.artifacts/branch-trust-audit/04-window-flows/diffs/20-dictation.patch;.artifacts/branch-trust-audit/04-window-flows/diffs/40-platform-resize-windows.patch	C1	S04-06	N13	No failed-state canary was collected through live getElements.
04-F005	04-F005	.artifacts/branch-trust-audit/04-window-flows/diffs/20-dictation.patch	C1	S04-05	N13	The suspicious shape predates the branch; fixture tests do not cross real keyboard/getElements.
04-F006	04-F006	.artifacts/branch-trust-audit/04-window-flows/diffs/20-dictation.patch	C1	S04-07	N13	No native frame or runtime registry measurement ran.
04-F007	04-F007	.artifacts/branch-trust-audit/04-window-flows/receipts/V12-notes-search.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V12-notes-search.stdout.log	C3	S04-02	N12	No live Cmd+P keyboard/focus/filesystem race boundary ran.
04-F008	04-F008	.artifacts/branch-trust-audit/04-window-flows/receipts/V13-notes-handoff.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V13-notes-handoff.stdout.log	C3	S04-03	N12	No cold-window readiness or cross-window focus boundary ran.
04-F009	04-F009	.artifacts/branch-trust-audit/04-window-flows/diffs/30-notes.patch	C1	S04-03	N12	The timer predates the branch and no delayed-readiness harness ran.
04-F010	04-F010	.artifacts/branch-trust-audit/04-window-flows/diffs/30-notes.patch	C1	S04-03	N12	Current focused tests do not inject partial deletion or every missing/forged outcome combination.
04-F011	04-F011	.artifacts/branch-trust-audit/04-window-flows/diffs/30-notes.patch;.artifacts/branch-trust-audit/04-window-flows/diffs/40-platform-resize-windows.patch	C1	S04-02	N12	No panel-focus live getElements receipt ran.
04-F012	04-F012	.artifacts/branch-trust-audit/04-window-flows/receipts/V04-notes-tests.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V04-notes-tests.stdout.log	C2		N16	No real Notes-hosted Actions popup was opened; production behavior remains unproven.
04-F013	04-F013	.artifacts/branch-trust-audit/04-window-flows/receipts/V05-window-automation.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V05-window-automation.stdout.log	C3	S04-05;S04-08	N13	Native visibility/focus and rapid close/reopen remain C4 gaps.
04-F014	04-F014	.artifacts/branch-trust-audit/04-window-flows/receipts/V06-window-resize.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V06-window-resize.stdout.log	C3		N15	No native window measurement ran.
04-F015	04-F015	.artifacts/branch-trust-audit/04-window-flows/receipts/V07b-visibility-focus-exact.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V08-event-simulator.json	C3		N13	The original visibility_focus filter ran zero tests; the corrected exact filter ran one.
04-F016	04-F016	.artifacts/branch-trust-audit/04-window-flows/receipts/V10-glass-script-contracts.json;.artifacts/branch-trust-audit/04-window-flows/receipts/V10-glass-script-contracts.stderr.log;.artifacts/branch-trust-audit/04-window-flows/receipts/V11-glass-rust-fixture.json	C3	S04-08	N07	No runtime filmstrip was captured; this does not prove native lifecycle timing.
05-F001	05-F001	.artifacts/branch-trust-audit/05-proof-trust/receipts/forged-task-current-registry-aggregate.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V12b-forged-task-current-registry.json	C3	S05-01	N02	This proves the admission defect, not that any specific product behavior is broken.
05-F002	05-F002	.artifacts/branch-trust-audit/05-proof-trust/receipts/forged-program-aggregate.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V13-forged-program-admission.json	C3	S05-01	N02	The control uses lane-owned synthetic files and does not alter checked-in receipts.
05-F003	05-F003	.artifacts/branch-trust-audit/05-proof-trust/receipts/forged-family-aggregate.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V14-forged-family-member.json	C3	S05-01	N03	The nine checked-in fixtures currently point to existing files; their contents and dispositions remain unvalidated by verifyFamily.
05-F004	05-F004	.artifacts/branch-trust-audit/05-proof-trust/receipts/coverage-bindings.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V06-coverage-bindings.json	C3		N03	The underlying binding computation may still be useful; this result concerns receipt admissibility.
05-F005	05-F005	.artifacts/branch-trust-audit/05-proof-trust/receipts/V09-agent-chat-entry-contract.stdout.log;.artifacts/branch-trust-audit/05-proof-trust/receipts/V11-submit-ownership-contract.stdout.log	C1		N16	Source-reading failures establish proof inconsistency, not live Agent Chat or submit behavior; confidence is capped at C1.
05-F006	05-F006	.artifacts/branch-trust-audit/05-proof-trust/receipts/checked-in-receipt-census.json	C0	S05-01	N03	Historical receipts may describe genuine past runs; this audit does not call them fabricated.
05-F007	05-F007	.artifacts/branch-trust-audit/05-proof-trust/receipts/source-audit-census.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V08-source-audit-ratchet.stdout.log	C1		N16	Some source locks protect legitimate architecture; this finding does not recommend wholesale deletion.
05-F008	05-F008	.artifacts/branch-trust-audit/05-proof-trust/receipts/V01-owner-map-self-test.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V02-owner-map-glossary.json;.artifacts/branch-trust-audit/05-proof-trust/receipts/V07-rendered-geometry.json	C3		N18	These helpers do not prove live UI geometry or runtime routing.
05-F009	05-F009	.artifacts/branch-trust-audit/05-proof-trust/receipts/V03-trust-core-tests.stderr.log;.artifacts/branch-trust-audit/05-proof-trust/receipts/V04-devtools-primitive-tests.stderr.log	C1		N18	Runtime execution is intentionally reserved for manager integration.
06-F001	06-F001	.artifacts/branch-trust-audit/06-integrate-article/diffs/00-owned.patch;.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C2		N07	No glass runtime probe was run by this lane.; The lane did not retune or modify calibration values.
06-F002	06-F002	.artifacts/branch-trust-audit/06-integrate-article/receipts/V01-glossary-links.json;.artifacts/branch-trust-audit/06-integrate-article/receipts/V01-glossary-links.stdout.log	C2		N18	The validator proves path resolution, not the semantic accuracy of descriptions or line fragments.
06-F003	06-F003	.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C2		N18	This is a documentation defect, not evidence that the named production behavior is wrong.
06-F004	06-F004	.artifacts/branch-trust-audit/06-integrate-article/receipts/V09-footer-descriptor-tests.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/receipts/V08-check-lib.json;.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C3	06-S01;06-S02	N06	C3 covers direct model behavior, not AppKit first mouse, hit testing, listener lifecycle, or resulting UI state.
06-F005	06-F005	.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json;.artifacts/branch-trust-audit/06-integrate-article/diffs/00-owned.patch	C2		N06	The forced branch is established statically; this lane did not saturate the live channel.; No claim is made that ordinary human clicks commonly fill the channel.
06-F006	06-F006	.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json;.artifacts/branch-trust-audit/06-integrate-article/receipts/V04c-quick-question-contract-bin.stdout.log	C1	06-S04	N05	Not reproduced by this lane.; The quick-question constructor tests do not exercise the footer route.
06-F007	06-F007	.artifacts/branch-trust-audit/06-integrate-article/receipts/V03-actions-visibility-tests.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/receipts/V07-source-audit-ratchet.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C1		N16	Direct descriptor tests legitimately reach C3 for pure model behavior; this finding is limited to native/runtime wording.
06-F008	06-F008	.artifacts/branch-trust-audit/06-integrate-article/receipts/V02b-list-item-tests-corrected.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C3		N08	No pointer-parked or real keyboard runtime sequence was run.
06-F009	06-F009	.artifacts/branch-trust-audit/06-integrate-article/receipts/V05b-agent-chat-portal-contract-corrected.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/diffs/00-owned.patch	C3		N10	The test does not open a live portal or prove picker lifecycle/focus behavior.
06-F010	06-F010	.artifacts/branch-trust-audit/06-integrate-article/receipts/V06-mcp-tests.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/diffs/00-owned.patch	C2		N04	The lane did not inspect live MCP output across footer, Actions, Agent Chat, or warning states.
06-F011	06-F011	.artifacts/branch-trust-audit/06-integrate-article/receipts/V10-warning-banner-tests.stdout.log;.artifacts/branch-trust-audit/06-integrate-article/receipts/static-audit.json	C2	06-S05	N04	No live getElements, accessibility, focus, Enter/Space, or dismissal-state receipt was captured.
